POINTS 119
0 0
900 0
900 900
0 900
50 50
100 50
100 100
50 100
600 600
500 500
500 700
600 400
600 200
200 200
200 400
800 800
800 700
700 700
700 800
436 418
40 616
6 720
709 798
831 221
842 25
620 10
281 132
117 233
624 375
196 560
120 868
627 622
583 562
243 428
669 786
642 798
865 768
862 696
858 534
817 278
647 289
793 154
824 20
844 50
78 138
82 61
101 95
167 81
214 79
332 23
388 81
371 207
270 109
413 342
410 250
396 217
315 287
230 351
129 213
92 222
41 314
99 345
251 489
153 485
6 492
116 507
29 575
70 652
235 818
165 659
143 602
370 763
315 874
386 865
408 849
388 653
354 551
257 547
365 515
373 492
382 487
546 496
456 510
531 616
451 656
521 705
524 808
643 887
571 837
534 797
684 641
764 679
767 613
842 613
779 536
875 526
786 503
730 475
823 433
839 486
845 295
753 364
848 302
748 412
719 297
618 294
417 258
443 287
457 284
531 234
455 242
441 215
511 22
549 1
618 81
627 172
638 206
738 106
687 48
EDGES 302
25 42
42 118
118 25
114 118
118 117
117 114
42 43
43 117
117 42
114 25
104 40
40 116
116 104
117 116
116 115
115 117
115 114
115 12
12 114
112 114
12 112
114 113
113 25
113 1
1 25
50 49
49 112
112 50
112 113
12 116
116 105
105 12
105 11
11 12
101 28
28 104
104 101
104 39
39 101
98 96
96 103
103 98
103 101
101 98
100 23
23 102
102 100
98 102
102 95
95 98
103 97
97 28
28 103
102 39
39 100
23 1
1 102
101 102
38 96
96 99
99 38
95 99
99 98
96 97
95 38
32 81
81 97
97 32
94 97
96 94
94 90
90 97
38 94
37 95
95 2
2 37
92 90
94 92
93 94
38 93
95 93
93 92
93 37
37 16
16 93
31 97
90 31
93 91
91 92
91 90
91 16
16 17
17 91
31 32
85 35
35 89
89 85
10 89
89 86
86 10
89 88
88 86
73 88
88 87
87 73
73 74
74 88
87 72
72 73
35 88
71 86
86 74
74 71
31 17
17 85
85 31
8 85
85 10
10 8
75 76
76 84
84 75
71 84
84 10
10 71
76 78
78 82
82 76
84 9
9 10
11 97
81 11
19 81
81 9
9 19
79 33
33 80
80 79
82 80
80 19
19 82
33 19
62 79
79 78
78 62
62 33
77 78
76 77
75 77
77 62
80 78
69 77
75 69
75 71
71 69
35 87
71 73
72 71
87 2
2 3
3 87
68 72
72 30
30 68
67 20
20 70
70 67
70 69
69 67
70 29
29 69
30 69
69 68
68 71
20 66
66 70
67 21
21 20
64 65
65 66
66 64
21 66
64 61
61 65
65 70
60 61
64 60
64 0
0 60
61 14
14 63
63 61
65 63
63 29
29 65
9 82
63 62
62 29
27 14
61 27
60 27
7 59
59 60
60 7
0 7
14 33
33 63
44 59
7 44
44 6
6 58
58 44
59 58
58 27
27 59
48 49
49 52
52 48
13 52
52 26
26 13
52 50
50 26
50 12
12 26
0 113
113 49
49 0
5 49
48 5
47 5
48 47
13 48
5 0
47 46
46 5
13 47
46 6
6 5
6 47
47 58
7 6
23 43
43 1
43 24
24 1
42 24
42 1
43 41
41 117
41 116
28 11
105 28
40 105
1 95
1 2
37 36
36 16
17 90
18 15
15 87
87 18
18 35
35 34
34 18
30 21
21 69
17 35
14 19
32 9
31 8
8 32
3 72
82 84
104 41
41 23
23 104
40 28
13 14
27 13
23 39
2 36
77 29
64 21
21 3
3 64
14 11
11 19
3 30
17 18
34 17
2 15
15 36
3 0
13 58
12 13
15 16
8 9
0 4
4 7
5 4
0 1
